기준일,종목명,종목코드,종목유형,뱅잔고,뱅고객수,뱅리스크종목,뱅리스크고객수,뱅리스크잔고,뱅최고리스크잔고,뱅최고리스크고객,뱅유지담보비율,영잔고,영고객수,영리스크종목,영리스크고객수,영리스크잔고,영최고리스크잔고,영최고리스크고객,영유지담보비율
2026-07-28,SK하이닉스,000660,여신,3628,6820,Y,56,91,11,제*헌,141.35,3753,1803,Y,12,39,10,고*환,148.17
2026-07-28,삼성전자,005930,여신,2910,8084,Y,60,83,5,이*수,140.72,6721,2605,Y,10,20,7,장*수,145.26
2026-07-28,삼성전기,009150,여신,416,1675,Y,2,5,4,조*우,140.08,296,511,Y,0,,,,
2026-07-28,현대차,005380,여신,414,2689,Y,5,7,2,황*범,144.41,211,726,Y,0,,,,
2026-07-28,NAVER,035420,여신,407,1758,Y,13,17,2,홍*열,143.61,258,455,Y,7,22,10,배*령,147.86
2026-07-28,SK스퀘어,402340,여신,332,1243,Y,4,15,12,배*희,143.7,194,384,Y,0,,,,
2026-07-28,두산에너빌리티,034020,여신,321,2136,Y,11,21,11,김*길,140.69,283,707,Y,2,2,1,천*경,141.1
2026-07-28,삼성전자우,005935,여신,281,796,Y,5,9,3,임*성,146.94,203,334,Y,2,3,2,노*래,147.28
2026-07-28,셀트리온,068270,여신,259,867,Y,8,10,3,성*근,144.68,1067,365,Y,9,33,11,최*수,140.77
2026-07-28,한화오션,042660,여신,239,1542,Y,6,16,7,고*영,140.06,101,527,Y,3,3,1,함*화,142.44
2026-07-28,삼성SDI,006400,여신,218,1515,Y,3,12,10,임*기,140.14,140,537,Y,5,13,9,김*미,0
2026-07-28,LG전자,066570,여신,195,1735,Y,6,11,5,최*일,149.17,115,531,Y,2,3,2,이*기,143.2
2026-07-28,POSCO홀딩스,005490,여신,191,1097,Y,1,1,1,김*순,142.6,160,403,Y,1,1,1,김*식,144.97
2026-07-28,삼성중공업,010140,여신,187,1050,Y,1,1,1,박*찬,140,103,435,Y,3,3,1,유*갑,140.39
2026-07-28,알테오젠,196170,여신,186,845,Y,4,6,3,지*애,148.47,155,315,Y,1,2,2,김*욱,149.04
2026-07-28,한미반도체,042700,여신,186,1368,Y,5,5,1,김*성,143.74,113,410,Y,2,3,2,박*권,140.31
2026-07-28,카카오,035720,여신,156,1321,Y,10,17,3,민*호,141.39,98,412,Y,1,1,1,박*주,149.37
2026-07-28,LS ELECTRIC,010120,여신,155,1466,Y,1,1,1,최*형,142.93,70,416,Y,2,2,1,J*N LANZHU,140.97
2026-07-28,현대모비스,012330,여신,132,965,Y,2,3,2,서*옥,140.89,70,268,Y,0,,,,
2026-07-28,SK이노베이션,096770,여신,116,441,Y,1,1,1,윤*연,140.02,25,141,Y,2,2,1,이*순,140.35
2026-07-28,LG에너지솔루션,373220,여신,106,837,Y,1,1,1,박*연,140,36,275,,0,,,,
2026-07-28,미래에셋증권,006800,여신,101,1010,Y,1,1,1,황*석,146.41,56,328,Y,0,,,,
2026-07-28,이수페타시스,007660,여신,88,1018,Y,1,1,1,김*겸,140.3,38,301,Y,0,,,,
2026-07-28,에코프로비엠,247540,여신,87,1338,Y,0,,,,,68,501,,0,,,,
2026-07-28,HD현대중공업,329180,여신,84,504,Y,1,1,1,김*곤,141.83,50,159,Y,1,1,1,정*병,146.63
2026-07-28,현대로템,064350,여신,84,484,Y,0,,,,,46,154,Y,0,,,,
2026-07-28,LG이노텍,011070,여신,79,918,Y,1,1,1,김*석,146.02,40,271,,0,,,,
2026-07-28,하이브,352820,여신,79,590,Y,1,1,1,유*은,140.68,43,177,,0,,,,
2026-07-28,한국항공우주,047810,여신,78,430,Y,2,2,1,김*진,144.33,45,124,Y,0,,,,
2026-07-28,LG씨엔에스,064400,여신,77,904,Y,4,5,2,조*찬,140.5,21,273,Y,0,,,,
2026-07-28,LIG디펜스앤에어로스페이스,079550,여신,75,310,Y,2,6,3,김*우,140.01,43,86,Y,1,10,10,박*호,145.52
2026-07-28,한국전력,015760,여신,70,579,Y,2,3,2,방*,145.4,33,203,Y,0,,,,
2026-07-28,에코프로,086520,여신,67,1246,Y,2,2,1,배*신,140,62,457,Y,2,2,1,이*숙,140.06
2026-07-28,포스코퓨처엠,003670,여신,62,806,Y,0,,,,,49,325,Y,1,1,1,조*호,149.03
2026-07-28,HD한국조선해양,009540,여신,62,184,Y,0,,,,,217,70,Y,0,,,,
